#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DJI_AIR_2S,_field,_measurement
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:54.933Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:56.265Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:57.93Z,-0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:59.262Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:00.927Z,-4.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:02.259Z,-6.599999904632568,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:03.591Z,-8.699999809265137,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:04.59Z,-2.5,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:05.922Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:07.587Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:08.919Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:09.918Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:11.25Z,-0.20000000298023224,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:12.582Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:13.914Z,4,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:15.246Z,7.099999904632568,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:16.245Z,9.800000190734863,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:17.577Z,5.199999809265137,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:18.909Z,0.10000000149011612,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:19.908Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:21.24Z,0,Basic_metrics,VelocityX,Dji
,,1,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:57:22.572Z,0,Basic_metrics,VelocityX,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:00.654Z,-2.5999999046325684,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:01.986Z,-2,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:03.318Z,-1.100000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:04.65Z,-0.4000000059604645,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:05.649Z,0.699999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:07.314Z,1.399999976158142,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:08.979Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:09.978Z,-1.2000000476837158,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:11.31Z,-1.100000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:12.642Z,-0.699999988079071,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:14.64Z,4.199999809265137,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:15.972Z,-1.600000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:17.304Z,-0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:18.636Z,-0.30000001192092896,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:20.301Z,-1.7999999523162842,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:21.633Z,1.100000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:22.965Z,2.9000000953674316,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:23.964Z,0.8999999761581421,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:25.296Z,0.10000000149011612,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:26.628Z,-0.4000000059604645,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:28.293Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:29.625Z,1.100000023841858,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:30.624Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:32.289Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:33.288Z,0,Basic_metrics,VelocityY,Dji
,,2,2022-10-22T14:56:00Z,2022-10-22T14:58:00Z,2022-10-22T14:56:34.62Z,-0.699999988079071,Basic_metrics,VelocityY,Dji
